vtw	vtw	kod	nod	vud	mdflw	rbf	
2.500000e+01	0.000000e+00	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.550000e+01	1.639344e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.600000e+01	3.278689e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.650000e+01	4.918033e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.700000e+01	6.557377e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.750000e+01	8.196721e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.800000e+01	9.836066e-02	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.850000e+01	1.147541e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.900000e+01	1.311475e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
2.950000e+01	1.475410e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.000000e+01	1.639344e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.050000e+01	1.803279e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.100000e+01	1.967213e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.150000e+01	2.131148e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.200000e+01	2.295082e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.250000e+01	2.459016e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.300000e+01	2.622951e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.350000e+01	2.786885e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.400000e+01	2.950820e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.450000e+01	3.114754e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.500000e+01	3.278689e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.550000e+01	3.442623e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.600000e+01	3.606557e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.650000e+01	3.770492e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.700000e+01	3.934426e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.750000e+01	4.098361e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.800000e+01	4.262295e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.850000e+01	4.426230e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.900000e+01	4.590164e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
3.950000e+01	4.754098e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.000000e+01	4.918033e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.050000e+01	5.081967e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.100000e+01	5.245902e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.150000e+01	5.409836e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.200000e+01	5.573770e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.250000e+01	5.737705e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.300000e+01	5.901639e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.350000e+01	6.065574e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.400000e+01	6.229508e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.450000e+01	6.393443e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.500000e+01	6.557377e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.550000e+01	6.721311e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.600000e+01	6.885246e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.650000e+01	7.049180e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.700000e+01	7.213115e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.750000e+01	7.377049e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.800000e+01	7.540984e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.850000e+01	7.704918e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.900000e+01	7.868852e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
4.950000e+01	8.032787e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.000000e+01	8.196721e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.050000e+01	8.360656e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.100000e+01	8.524590e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.150000e+01	8.688525e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.200000e+01	8.852459e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.250000e+01	9.016393e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.300000e+01	9.180328e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.350000e+01	9.344262e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.400000e+01	9.508197e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.450000e+01	9.672131e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
5.500000e+01	9.836066e-01	1.591327e-01	9.306690e-03	1.930089e-01	9.983964e-01	1.218516e+00	
